well,rows,rmse,mean_abs_error,bias,alpha
ccedb12b,4401,10.710949404344076,9.733281724959012,-6.888876814738995,1.0
d1ecf309,6168,10.702580737190198,9.44077508338611,-4.770059174560249,1.0
a8ed028a,5538,10.644312190759956,7.88190608754443,-3.26534471942286,0.5
861e71df,4700,10.635564461045247,9.403104995782181,-9.403104995782181,0.75
aa95015b,4300,10.633867504132857,8.997207260155012,-8.380891676257553,1.0
1770d7c6,7240,10.628050128023771,8.378994429009403,0.4375061552466003,0.75
7e721392,6174,10.614135680014654,9.318880790230525,6.856389698062642,0.0
1a730ac2,4605,10.607393503430167,9.781076598215607,-1.640109267108409,0.5
a056d01e,6557,10.604543632077958,7.002223445522678,4.7255041295328,1.0
122bd617,4570,10.603670644033075,7.993260948130412,-2.936139044749017,1.0
374be387,9965,10.577428352738604,8.858941395057506,8.61922127304256,1.0
4caa7289,5396,10.553608805648667,7.893652791830136,-6.508566488305755,1.0
53f23031,8550,10.48727100478658,8.604716542123398,-8.604716542123398,1.0
c03d4aed,4641,10.485455024376263,8.235160077434152,-5.701346236353705,1.0
3584a6eb,4494,10.470807253166916,9.526319916142938,9.526319916142938,1.0
5138a660,3559,10.43710213002705,8.123113580122187,8.11974783732095,1.0
ec13af42,5462,10.423024601006036,8.336359355003479,-4.292411781564431,1.0
b7fea9ef,3866,10.404823459206197,8.318060246963238,-4.371596875004048,0.75
729f4217,6195,10.395187236787915,8.233035469174904,1.7689246542519246,0.5
2fe023be,4221,10.390136278030866,7.710713051837068,0.5833301333317584,0.75
f631da6e,4093,10.362062982514455,8.694002587424917,8.694002587424917,1.0
4121c517,3723,10.337421875301285,9.05559712730376,-3.9511278817254216,0.75
6e9ccd38,8282,10.330487961260934,7.819205203817342,-0.342076508913745,1.0
60e37807,2699,10.329656769098843,9.104363111662993,1.2568816036083328,0.5
b19b0395,5813,10.325636496736294,9.606407428029035,8.475550152155833,1.0
e97032ad,3530,10.29304010661192,8.86815341482685,2.7118809296059774,0.75
a79fd2e7,4404,10.251186336069976,8.242694179907916,-3.8994670034284584,0.75
3407f5bf,3638,10.249129728033461,8.442048586943537,-3.9885729487237467,0.5
c2c4db09,6039,10.246145326831405,8.784843945987435,-1.8631641117598459,1.0
a48640d9,4532,10.24232320205755,8.760319654011147,-3.4515968445013736,0.25
f72b268f,6404,10.208307954038014,8.771287857113803,-7.382222987253447,1.0
1e5e3573,5480,10.207842873387056,9.062173130141224,-3.9679103524901413,1.0
13f598d9,7306,10.20598567445257,8.72446361033619,-8.5193970861654,1.0
46a7190b,4215,10.20122579341644,7.788182520283147,-7.241497413978084,1.0
722cf0d8,5143,10.177843533099246,8.645617306848028,4.680308640776907,0.75
e32da4ec,4689,10.173760736284729,7.730720496089842,-6.360258929982355,1.0
109d9d70,4215,10.164126350767004,7.9226820389893975,-4.937451329296785,1.0
