well,rmse,mean_abs_error,bias,rows
67a8da4a,12.489202996086993,9.25066051735177,-9.084287554283456,4911
1131525f,12.422735756210525,8.800214506687812,-5.320133802807869,4159
173ed841,12.366667871290671,10.535362581294025,-7.399485921692375,4883
94467f50,12.341735228824854,8.410499424211533,7.839576493978739,3035
a0383629,12.303984722995038,11.027087149829155,10.373686886969073,5832
4121c517,12.295907898918687,10.75611744205053,-9.27611335182737,3723
3a223519,12.295579678655615,10.917510768847718,10.917510768847718,4583
203721ab,12.275126858682388,10.255958381291041,9.298978111068779,5730
eac10e86,12.251819373732246,11.66074839897106,11.660748398971059,6067
da3cf798,12.230575356472041,10.697975184806502,-10.487346265308679,5844
19137a89,12.208826435775364,8.642693951626354,-6.368042863013452,6267
8bda1a11,12.129906921340732,10.143863194421419,3.540812535350054,5981
796dbd4c,12.120656787394074,10.87222059930563,10.87222059930563,6248
37344c2a,12.112509159483537,10.230199045375581,0.7040576927283249,5197
7ff89f8f,12.075381001109639,10.650774186916774,-3.948404065203375,7337
df8290be,12.039275265531172,9.686607067159896,-5.471252761172184,3972
7d57c75d,12.036329585774189,8.494289379904261,-8.112770816922646,4405
89f36adf,12.011775617728047,11.28374754439101,11.271964172537299,5292
593876b6,11.995863958985337,11.16130658037256,-10.564256276227118,4842
c6b782a4,11.965207123604802,9.791755778884633,8.453889048172794,4877
70e1788b,11.950457147219884,11.032916429274437,10.352323713640839,9285
16e4a047,11.923328697219892,11.32718299609779,11.322990145302054,4131
cda7eb37,11.917704687859436,8.231278852992606,-6.1521795065652665,5973
d5df0ff5,11.908713310900819,10.835052869038963,10.650956228137126,4032
272abef3,11.878901100842853,9.837441586173242,9.778185207447091,4135
0955cd6c,11.86138137473801,10.278225625069446,10.132299312232623,5195
722cf0d8,11.819303059677981,10.497338660997798,0.44940945216693645,5143
5138a660,11.81574238554914,9.728068298401007,-9.116163473148589,3559
10b89021,11.803311461536893,10.65781299392053,10.436884656568882,5414
512943b2,11.728589182715725,10.822539667001863,10.822539667001864,5029
a79fd2e7,11.702090474785754,9.290499997986823,7.313782888741726,4404
f321a31c,11.682845487788935,9.607544027986451,5.833124942337961,5141
33c40295,11.675265809444667,10.254484203930689,-7.972205806492482,4169
6e6d122c,11.66993965214655,9.212424812118327,-8.792636045296522,5632
43b06c70,11.65162693334284,10.38416681546262,-9.99853182713578,4846
4cecf7b3,11.63075075416549,9.622842296733142,7.068627260345663,6019
3b21ea64,11.578074600836333,8.917183367206135,-0.855987689967029,7376
6a0ff78e,11.57177085217669,8.909100110368195,0.6614042924313284,6465
2d35f86d,11.560568052408806,10.813571866908134,-2.7976785340463324,4896
c908edd0,11.522975255695385,9.124137298131016,6.47377917652719,5293
ef04658e,11.5193649440814,8.522913180410624,-7.458472316389536,4104
78a4a386,11.512024429931637,9.313652459886493,7.70256366731664,5119
a0e92ed6,11.507876595409668,9.878038590466971,-9.740479628636022,4897
19871e7f,11.467942219928318,10.713127767351361,10.713127767351361,5293
925a7cd1,11.464962877458577,10.571661504230116,2.9727402598589547,4517
62569ae3,11.464444259709943,8.493402405119657,8.019460440685059,3588
febb4411,11.437680315397007,10.208907431274206,7.589761718173638,4247
81fc01c6,11.417199161055064,8.161449054580391,-1.619745939391143,5909
f08774c3,11.41325179629275,9.351176777370412,-3.716341874177484,3900
ec13af42,11.412949594891936,8.494878556963815,-6.619410365038714,5462
52f1e77a,11.411104706757536,9.768520154674457,-7.174213631182673,4442
eb640a35,11.409540327782166,10.751025739776509,2.9943416352923617,6037
a645da9a,11.382501109678357,10.52222890302872,1.8204016521345558,5153
08fecf00,11.370201477932456,10.42164407824631,10.421644078246311,5574
940a48d9,11.349137467972328,9.869754651426364,5.813779798268036,3963
2ddad940,11.309532272718856,9.370368193566101,7.64533171951669,5331
f053a1b9,11.289805280067018,10.392907988281932,10.392907988281932,4108
5def1ce5,11.284259691047733,9.879187522040596,-7.833782928361936,6443
5f6756c5,11.278052238952318,9.998287403265389,-8.691364323582391,5931
4630ab92,11.23882086017392,8.48312871879327,8.090707524231991,3373
e9949a23,11.228708882250848,8.51118707530484,1.8338467896432815,4559
fae0c593,11.224355229004136,10.207085300145016,-1.9623900531429979,4403
e25f1537,11.209583578841352,8.678857351745492,4.85140017049436,3177
3a7dd95d,11.20572594830302,9.119583876682384,6.687222543566674,3072
d1ee630d,11.177397992893287,9.769340871098953,-9.71522096469433,6290
c03d4aed,11.176165953196794,8.966054558124636,-7.400644363711746,4641
660d9546,11.163327122742057,8.680890630195591,8.64087838226093,4732
2b547943,11.152483520609673,9.468653001942291,-9.377331824829518,3480
1beca81d,11.151724330869094,8.83404224435736,8.51787384294264,5036
