well,rows,rmse_before,rmse_after,mae_before,mae_after
14ab73fb,3649.0,15.865441681355692,15.865476605520884,14.227484523844105,14.2275472883317
a7fc3e6b,4764.0,15.849637955727134,15.849558909238588,12.832062979425151,12.83193538210156
09441b8d,5488.0,15.785095525200168,15.785019031278008,12.529152343066796,12.52905514831082
8cc800b3,6576.0,15.785271745313601,15.785001028261751,14.824799852079472,14.82459554676071
df8290be,3972.0,14.654068876143505,15.756492338623813,12.44428018720401,13.150797415448661
a0b83014,5035.0,15.740593333381693,15.741084531034472,14.320553427695131,14.321050135274746
a3f71395,5543.0,15.677537112728317,15.677372641961435,13.970914287572274,13.970691662706118
da3cf798,5844.0,15.677147019828167,15.677269995198204,14.415541181605395,14.41569913142556
43c7f85a,5978.0,15.533622071413633,15.533281661452,13.262938407807814,13.262605462091356
54753541,4026.0,15.53301405699908,15.532892863715887,11.591675161777573,11.591479039159234
bd4ae5da,5006.0,15.519917579216044,15.519917830616667,14.475943800698047,14.475946661766057
2043abc5,6958.0,15.485870935032718,15.485867516819408,13.059774327996953,13.059750256982738
ec0d597b,4616.0,15.480664625344989,15.480951836361475,10.631361755191593,10.631744759399666
38991fd4,4798.0,15.331669127958273,15.331734593854192,13.550256742199473,13.550383579144063
81fc01c6,5909.0,15.32058454727213,15.320575354903747,10.573136019383766,10.573099544262552
739a914f,5505.0,15.317958223417428,15.317892027990966,12.531257368890406,12.531109100491365
aaaf3c03,2997.0,15.305212817506652,15.305329801762916,13.485476178839125,13.485552976564232
9426ec1e,2532.0,15.203103904699848,15.203242475435061,13.404350315871465,13.404517806568762
98bc6f66,6063.0,15.119611640712245,15.119523994555124,13.92830976336001,13.928241686833275
b3388334,6080.0,15.115613379622634,15.115602451366541,13.297488166348108,13.297485590070767
8b12bab6,5234.0,15.074419112570144,15.074649302662023,11.635647036329257,11.63576051432121
f140c2fa,4082.0,15.024961552098546,15.024999534189254,13.435119174843551,13.435128691015159
e03b45fd,5342.0,14.978709262777176,14.978737865527098,11.734263012057918,11.734264650256206
0bbf5e67,4298.0,15.846874951769026,14.96030939738571,14.72075356880958,13.750174167902287
8b95d6d1,1731.0,14.931803964899864,14.931765619786923,13.973402830906966,13.973381902759002
7bb17b96,3922.0,14.91697858593633,14.917045409629832,12.73404649638369,12.734120356240389
656a067b,3051.0,14.812201872198845,14.812191858746571,13.344635916012743,13.344630741825725
77e4821c,5393.0,14.80445777594092,14.804725231938606,12.224325096102433,12.224485289070737
85380836,6618.0,14.79452216822131,14.794536137778223,13.228505480614894,13.228521711646042
6767c111,6783.0,14.792895523059432,14.79279536516228,12.485534973773843,12.485401181580857
7ff89f8f,7337.0,14.736299844033013,14.73637487936034,12.011005699395202,12.011042402901928
4b831d20,7312.0,14.732921362968433,14.732916351526288,12.331001832297058,12.331004715599388
f4d12d23,3701.0,14.729502872773066,14.729052624905881,13.533295586791057,13.53288944860282
3aaa2b30,4711.0,14.70855160579338,14.708405053326754,13.190214357300343,13.190022271587337
ce55ba43,4104.0,14.685848572425108,14.685863345209704,12.621097447503411,12.621114854961828
4fbe9c06,6287.0,14.677577900479136,14.677492439573966,11.383768236588669,11.383584037568562
67a8da4a,4911.0,14.606671997959797,14.60667865388939,12.64066146719371,12.640671717786903
071d7b45,3211.0,14.543294838930146,14.543224231361478,13.692497707211052,13.692398119329404
f49fdea3,5391.0,14.49555074529434,14.495553319469188,13.543817082417668,13.543821545542697
a87433c9,5721.0,14.481573849839297,14.481477455153415,13.263925340594223,13.263826439825962
633774dc,6233.0,14.428603626787737,14.428640159963422,12.789041692604,12.789067645207133
9df1b1f9,4701.0,14.399969312009029,14.40011399738454,13.762292974069503,13.762465990159873
6d1d74e1,5830.0,14.394316878619625,14.39425008642633,11.209768975134246,11.20971499235909
9c350a6a,6052.0,14.392809954810676,14.39301049723014,11.779295772876932,11.77938458487074
1b08ed48,5618.0,14.233268046106769,14.233102096879376,13.22555196002394,13.225490921538157
481de5fc,5952.0,14.16574635125323,14.165686792322855,12.718380616888663,12.718310681798064
8d5d46d7,5755.0,14.149709034131947,14.149604691865347,12.901076866916476,12.901002394933926
f321a31c,5141.0,14.147705490841831,14.147830921441738,11.385257455120248,11.38529335928142
febb4411,4247.0,14.09907896919744,14.09897290218126,12.298265953454774,12.298182139581897
00bbac68,6014.0,14.064816035321359,14.064747773731737,10.658489434579634,10.658606626212467
fde20ecf,4667.0,14.010770300759031,14.010779871233996,12.824123635124131,12.824183987691377
19137a89,6267.0,13.994762910914645,13.994283233461527,11.69920691289018,11.698927405779237
3a7dd95d,3072.0,13.972425597391577,13.972501161316574,11.553385765445038,11.553355650085011
47222616,4406.0,13.969142290137727,13.969166381856663,11.290870382667093,11.290881981867155
16e4a047,4131.0,13.968295301306785,13.968526571367228,13.569229787893267,13.569471008443303
8b5be31b,5672.0,13.929321131634063,13.929426025029075,11.833009229329624,11.833074602758794
c3957531,5316.0,13.898317788699554,13.898305968303774,10.902556789165038,10.902528352640196
ef04658e,4104.0,13.89418767216226,13.894276346110448,11.605308357411978,11.605353423067358
a5aa7973,4616.0,13.884387600814213,13.884368129486548,11.910772405574434,11.910681259978537
bc4381e2,4955.0,13.869935536586556,13.869973387414486,12.929469672796014,12.92951562567473
201661b5,5955.0,13.867599527482339,13.868102789666436,11.87750710874938,11.878183774752511
