well,rows,rmse,mae,bias,baseline_rmse,geometry_rmse,rmse_improvement_vs_baseline,rmse_improvement_vs_geometry,learned_alpha,oracle_alpha
cbe62450,6258,24.24618191819575,21.32009993486727,-21.255406713369208,122.0085930170853,20.827131198431047,97.76241109888956,-3.4190507197647015,0.9606605836707351,1.0
a692b17e,3566,24.235402453630872,20.797675236793538,-19.53972624610364,51.872750971870936,13.256017451722085,27.637348518240064,-10.979385001908787,0.6958360017378695,1.0
e7d0c1de,4711,24.132054398986167,21.283907754137697,21.273414803693832,59.947031407410314,9.627840014339176,35.81497700842415,-14.50421438464699,0.7059577017188031,1.0
833af382,3628,24.059039673561216,21.509029633327867,21.25410942738131,69.90950158073515,12.486555864231745,45.85046190717394,-11.572483809329471,0.7682538026600461,1.0
add9c322,3932,24.049152436160412,22.37049950492571,22.37049950492571,56.5774318342395,13.693357794429764,32.528279398079086,-10.355794641730649,0.7496404014612927,1.0
c3957531,5316,24.045471136497675,18.50342043317698,-15.093659857461175,98.39504605853514,13.898317788699567,74.34957492203748,-10.147153347798108,0.8556695720981361,1.0
5beded95,3057,23.98373449817987,22.39300247099787,22.38235397634878,32.83524578122444,18.195146575494537,8.851511283044566,-5.788587922685334,0.5941394122097632,1.0
b5aa9634,7326,23.910891193782092,20.583812266786257,20.583812266786257,50.70323149625456,13.484511856174045,26.792340302472468,-10.426379337608047,0.6929584518271809,1.0
0498acab,4798,23.864107565918594,18.99184361551313,18.346454745069074,81.82464755145362,6.70702551066347,57.96053998553503,-17.157082055255124,0.7462856411141116,1.0
ad2133a8,5729,23.787522803924215,21.90349324894297,19.075059513793924,79.49636958354459,27.754210147338775,55.70884677962037,3.9666873434145593,0.9414798472000955,0.75
4a335117,5015,23.71862098204062,19.070253928510756,8.730798502172117,155.4199778700251,20.802695288090217,131.70135688798447,-2.9159256939504026,0.8207990768212124,1.0
69e41fa6,5772,23.668651541812736,21.278855194702604,21.278855194702604,70.8816344815214,11.453392139519748,47.21298293970867,-12.215259402292988,0.7886859448394208,1.0
cc8a1d57,6638,23.592060877799316,21.762430958294434,20.025537907130598,23.961146116425983,28.080447818774275,0.369085238626667,4.488386940974959,0.837097524812068,0.5
0dc835f3,4428,23.54949683273609,21.178826900649355,21.172995557709797,78.99370029600865,8.34525036381308,55.444203463272565,-15.20424646892301,0.7518471305271045,1.0
9d072e4c,5107,23.53058136686506,20.904892333556784,20.843563490963927,168.95041559619742,5.815672421166479,145.41983422933237,-17.714908945698582,0.8620481768630635,1.0
67a8da4a,4911,23.514034330390206,21.280669025993962,-21.094193582013588,96.13413487517704,14.606671997959808,72.62010054478684,-8.907362332430399,0.8787485258074328,1.0
2043abc5,6958,23.401914935609746,21.04273102163244,-20.925206113133402,54.2177884631527,15.4858709350327,30.815873527542955,-7.916044000577045,0.7730356194254588,1.0
ef8e3ed0,5224,23.393534982764915,21.1088366625461,21.035150239700638,42.686153517757,17.98359412290126,19.292618534992084,-5.4099408598636565,0.7638104576182885,1.0
75cd5f11,4946,23.25065164722196,18.71521406923188,17.434830044769893,87.1697626914347,8.349163154392501,63.91911104421274,-14.90148849282946,0.7993573555635125,1.0
df8290be,3972,23.15270531431983,19.51027238967416,-15.98929929006344,102.44367653394993,14.65406887614349,79.2909712196301,-8.49863643817634,0.8939935463631234,1.0
200d233d,3926,23.0104521117163,21.28968151877383,-21.28968151877383,79.54865469234115,11.780776402718729,56.53820258062484,-11.229675708997572,0.8254574319613025,1.0
